[disabled] 供电专业/接触网 | TG GD 115-2017 普速铁路接触网安全工作规则.pdf | chunks=1 | no=TG GD 115-2017 | issuer=铁路行业技术规章发布单位待核 | notes=用户确认不是同一个规范
[disabled] 营业线施工/施工管理/通知办法 | 上铁施工[2021]301号中国铁路上海局集团有限公司关于印发中国铁路上海局集团有限公司铁路营业线施工管理实施细则的通知(1).pdf | chunks=354 | no=上铁施工[2021]301号 | issuer=中国铁路上海局集团有限公司 | notes=疑似重复文件，保留原始文件作为引用来源
[disabled] 综合法规/法律法规/行政法规 | 中华人民共和国铁路法2015.docx | chunks=18 | no=- | issuer=全国人民代表大会常务委员会 | notes=与 PDF 来源重复，严格引用优先使用 PDF
[approved] 铁路建设/建设管理 | 中国铁路总公司关于深化铁路建设项目标准化管理的指导意见.pdf | chunks=32 | no=- | issuer=中国铁路总公司 | notes=文号待人工补录; 年份/生效日期待人工补录
[approved] 综合管理/其他规范资料 | 国务院办公厅关于印发国家铁路局主要职责内设机构和人员编制规定的通知.pdf | chunks=23 | no=- | issuer=国务院/国务院办公厅 | notes=文号待人工补录; 年份/生效日期待人工补录
[approved] 普速铁路/技术管理规程 | 技规普速上册.pdf | chunks=600 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=年份/生效日期待人工补录
[approved] 普速铁路/技术管理规程 | 技规普速下册.pdf | chunks=140 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=年份/生效日期待人工补录
[approved] 普速铁路/技术管理规程 | 技规普速中册.pdf | chunks=909 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=年份/生效日期待人工补录
[approved] 高速铁路/技术管理规程/高速 | 技规高速上册.pdf | chunks=376 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=年份/生效日期待人工补录
[approved] 高速铁路/技术管理规程/高速 | 技规高速下册.pdf | chunks=127 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=年份/生效日期待人工补录
[approved] 高速铁路/技术管理规程/高速 | 技规高速中册.pdf | chunks=616 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=年份/生效日期待人工补录
[approved] 普速铁路/工务安全 | 普速铁路工务安全规则2023.pdf | chunks=418 | no=- | issuer=- | notes=文号待人工补录; 发布单位待人工补录
[approved] 普速铁路/桥隧建筑物 | 普速铁路桥隧建筑物修理规则2018版-216.pdf | chunks=765 | no=- | issuer=- | notes=文号待人工补录; 发布单位待人工补录
[disabled] 普速铁路/桥隧建筑物 | 普速铁路桥隧建筑物修理规则2018版.docx | chunks=566 | no=- | issuer=- | notes=文号待人工补录; 发布单位待人工补录
[disabled] 综合法规/法律法规/行政法规 | 铁路安全管理条例2014.docx | chunks=110 | no=- | issuer=国务院 | notes=与 PDF 来源重复，严格引用优先使用 PDF
[approved] 铁路建设/建设管理 | 铁路工程建设标准设计管理办法.pdf | chunks=13 | no=- | issuer=- | notes=文号待人工补录; 发布单位待人工补录; 年份/生效日期待人工补录; 切片数较少，请核对完整性
[approved] 铁路建设/建设管理 | 铁路建设项目变更设计管理办法.pdf | chunks=67 | no=- | issuer=- | notes=文号待人工补录; 发布单位待人工补录; 年份/生效日期待人工补录
[approved] 普速铁路/技术管理规程 | 铁路技术管理规程-普速铁路部分.pdf | chunks=1178 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=文号待人工补录; 年份/生效日期待人工补录
[approved] 高速铁路/技术管理规程/高速 | 铁路技术管理规程-高速铁路部分.pdf | chunks=1114 | no=- | issuer=铁路技术管理规程发布单位待核 | notes=文号待人工补录; 年份/生效日期待人工补录
[approved] 给水专业/给水管理 | 铁路给水管理规程 --中华人民共和国铁道部编 -- 2000-- 北京_中国铁道出版社.pdf | chunks=497 | no=- | issuer=原铁道部 | notes=文号待人工补录
[approved] 综合管理/行业统计 | 铁路行业统计规则 2019.pdf | chunks=359 | no=- | issuer=- | notes=文号待人工补录; 发布单位待人工补录
[approved] 综合法规/法律法规/行政法规 | 铁路运输安全保护条例.pdf | chunks=116 | no=- | issuer=国务院 | notes=年份/生效日期待人工补录
